stage_type,Date,start_time,end_time,duration_(s),average_spo2,spo2_samples,TWT_(s),TIB_(s),TST_(s),SE_%,Total_REM_(s),Total_NREM_N3_(s),Total_NREM_N1&N2_(s),Total_Wake_(s),TWT_%,REM_%,NREM_N3_%,NREM_N1&N2_%,Wake_%,count_stages,count_stage_1,count_stage_2,count_stage_3,count_stage_4,count_stage_5,max_spo2
3,2024-09-29,07:02:00,07:07:00,300.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-10-01,00:22:00,00:41:30,1170.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,00:42:00,01:07:30,1530.0,96.0,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,01:15:00,01:19:30,270.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,01:37:00,01:56:30,1170.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,02:02:00,02:09:30,450.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,02:28:00,02:30:00,120.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,02:36:00,02:37:00,60.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,02:59:00,03:29:30,1830.0,96.0,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,03:31:00,03:52:30,1290.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,04:05:00,04:13:00,480.0,96.0,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,04:14:00,04:15:00,60.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,04:15:00,04:21:00,360.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,04:22:00,04:32:00,600.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,04:40:00,04:44:30,270.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,05:04:00,06:12:00,4080.0,96.25,4,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,06:57:00,06:59:00,120.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
3,2024-10-01,07:03:00,07:05:30,150.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,17,0.0,2.0,17.0,5.0,10.0,97.5
4,2024-09-20,02:55:00,02:59:30,270.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,1,0.0,3.0,7.0,1.0,4.0,95.0
4,2024-09-29,00:22:00,00:39:00,1020.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,4,2.0,2.0,10.0,4.0,5.0,96.0
4,2024-09-29,01:18:00,01:31:30,810.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,4,2.0,2.0,10.0,4.0,5.0,96.0
4,2024-09-29,02:02:00,02:08:00,360.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,4,2.0,2.0,10.0,4.0,5.0,96.0
