        Layer (type)               Output Shape         Param #
       LeakyReLU-180         [-1, 32, 128, 128]               0
          Conv2d-181         [-1, 32, 128, 128]          36,896
       LeakyReLU-182         [-1, 32, 128, 128]               0
          Conv2d-183         [-1, 32, 128, 128]          46,112
       LeakyReLU-184         [-1, 32, 128, 128]               0
          Conv2d-185         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-186         [-1, 64, 128, 128]               0
            RRDB-187         [-1, 64, 128, 128]               0
          Conv2d-188         [-1, 32, 128, 128]          18,464
       LeakyReLU-189         [-1, 32, 128, 128]               0
          Conv2d-190         [-1, 32, 128, 128]          27,680
       LeakyReLU-191         [-1, 32, 128, 128]               0
          Conv2d-192         [-1, 32, 128, 128]          36,896
       LeakyReLU-193         [-1, 32, 128, 128]               0
          Conv2d-194         [-1, 32, 128, 128]          46,112
       LeakyReLU-195         [-1, 32, 128, 128]               0
          Conv2d-196         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-197         [-1, 64, 128, 128]               0
          Conv2d-198         [-1, 32, 128, 128]          18,464
       LeakyReLU-199         [-1, 32, 128, 128]               0
          Conv2d-200         [-1, 32, 128, 128]          27,680
       LeakyReLU-201         [-1, 32, 128, 128]               0
          Conv2d-202         [-1, 32, 128, 128]          36,896
       LeakyReLU-203         [-1, 32, 128, 128]               0
          Conv2d-204         [-1, 32, 128, 128]          46,112
       LeakyReLU-205         [-1, 32, 128, 128]               0
          Conv2d-206         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-207         [-1, 64, 128, 128]               0
          Conv2d-208         [-1, 32, 128, 128]          18,464
       LeakyReLU-209         [-1, 32, 128, 128]               0
          Conv2d-210         [-1, 32, 128, 128]          27,680
       LeakyReLU-211         [-1, 32, 128, 128]               0
          Conv2d-212         [-1, 32, 128, 128]          36,896
       LeakyReLU-213         [-1, 32, 128, 128]               0
          Conv2d-214         [-1, 32, 128, 128]          46,112
       LeakyReLU-215         [-1, 32, 128, 128]               0
          Conv2d-216         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-217         [-1, 64, 128, 128]               0
            RRDB-218         [-1, 64, 128, 128]               0
          Conv2d-219         [-1, 32, 128, 128]          18,464
       LeakyReLU-220         [-1, 32, 128, 128]               0
          Conv2d-221         [-1, 32, 128, 128]          27,680
       LeakyReLU-222         [-1, 32, 128, 128]               0
          Conv2d-223         [-1, 32, 128, 128]          36,896
       LeakyReLU-224         [-1, 32, 128, 128]               0
          Conv2d-225         [-1, 32, 128, 128]          46,112
       LeakyReLU-226         [-1, 32, 128, 128]               0
          Conv2d-227         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-228         [-1, 64, 128, 128]               0
          Conv2d-229         [-1, 32, 128, 128]          18,464
       LeakyReLU-230         [-1, 32, 128, 128]               0
          Conv2d-231         [-1, 32, 128, 128]          27,680
